N,U,J,g,lbd,B,qmax,size_grid,timestamp
1,3.0,0.6,0.1,0.02,0.1,1.2,101,20250503124510300629
1,3.0,0.6,0.1,0.02,0.2,1.2,101,20250503124701786439
1,3.0,0.6,0.1,0.05,0.1,1.2,101,20250503124852710002
1,3.0,0.6,0.1,0.05,0.2,1.2,101,20250503125044120907
1,3.0,0.6,0.1,0.07,0.1,1.2,101,20250503125237171997
1,3.0,0.6,0.1,0.07,0.2,1.2,101,20250503125428951275
1,3.0,0.6,0.2,0.02,0.1,1.2,101,20250503125621222501
1,3.0,0.6,0.2,0.02,0.2,1.2,101,20250503125815496711
1,3.0,0.6,0.2,0.05,0.1,1.2,101,20250503130008895668
1,3.0,0.6,0.2,0.05,0.2,1.2,101,20250503130200290080
1,3.0,0.6,0.2,0.07,0.1,1.2,101,20250503130351788852
1,3.0,0.6,0.2,0.07,0.2,1.2,101,20250503130545221233
1,3.0,0.8,0.1,0.02,0.1,1.2,101,20250503130738394384
1,3.0,0.8,0.1,0.02,0.2,1.2,101,20250503130932193805
1,3.0,0.8,0.1,0.05,0.1,1.2,101,20250503131125298593
1,3.0,0.8,0.1,0.05,0.2,1.2,101,20250503131317438524
1,3.0,0.8,0.1,0.07,0.1,1.2,101,20250503131509874292
1,3.0,0.8,0.1,0.07,0.2,1.2,101,20250503131705138508
1,3.0,0.8,0.2,0.02,0.1,1.2,101,20250503131856972335
1,3.0,0.8,0.2,0.02,0.2,1.2,101,20250503132049746311
1,3.0,0.8,0.2,0.05,0.1,1.2,101,20250503132241750016
1,3.0,0.8,0.2,0.05,0.2,1.2,101,20250503132621316556
1,3.0,0.8,0.2,0.07,0.1,1.2,101,20250503132812396534
1,3.0,0.8,0.2,0.07,0.2,1.2,101,20250503133004014114
1,3.0,1.0,0.1,0.02,0.1,1.2,101,20250503133157702279
1,3.0,1.0,0.1,0.02,0.2,1.2,101,20250503133350750233
1,3.0,1.0,0.1,0.05,0.1,1.2,101,20250503133542361911
1,3.0,1.0,0.1,0.05,0.2,1.2,101,20250503133735221644
1,3.0,1.0,0.1,0.07,0.1,1.2,101,20250503133928054648
1,3.0,1.0,0.1,0.07,0.2,1.2,101,20250503134120494775
1,3.0,1.0,0.2,0.02,0.1,1.2,101,20250503134313734940
1,3.0,1.0,0.2,0.02,0.2,1.2,101,20250503134505048410
1,3.0,1.0,0.2,0.05,0.1,1.2,101,20250503134657890061
1,3.0,1.0,0.2,0.05,0.2,1.2,101,20250503134849714602
1,3.0,1.0,0.2,0.07,0.1,1.2,101,20250503135041842029
1,3.0,1.0,0.2,0.07,0.2,1.2,101,20250503135233974243
1,4.0,0.6,0.1,0.02,0.1,1.2,101,20250503135426700591
1,4.0,0.6,0.1,0.02,0.2,1.2,101,20250503135618946005
1,4.0,0.6,0.1,0.05,0.1,1.2,101,20250503135812115176
1,4.0,0.6,0.1,0.05,0.2,1.2,101,20250503140004248317
1,4.0,0.6,0.1,0.07,0.1,1.2,101,20250503140156658718
1,4.0,0.6,0.1,0.07,0.2,1.2,101,20250503140349307488
1,4.0,0.6,0.2,0.02,0.1,1.2,101,20250503140541630765
1,4.0,0.6,0.2,0.02,0.2,1.2,101,20250503140735912047
1,4.0,0.6,0.2,0.05,0.1,1.2,101,20250503140928749751
1,4.0,0.6,0.2,0.05,0.2,1.2,101,20250503141121207484
1,4.0,0.6,0.2,0.07,0.1,1.2,101,20250503141313004545
1,4.0,0.6,0.2,0.07,0.2,1.2,101,20250503141504831805
1,4.0,0.8,0.1,0.02,0.1,1.2,101,20250503141656933024
1,4.0,0.8,0.1,0.02,0.2,1.2,101,20250503141848935094
1,4.0,0.8,0.1,0.05,0.1,1.2,101,20250503142041429847
1,4.0,0.8,0.1,0.05,0.2,1.2,101,20250503142233230218
1,4.0,0.8,0.1,0.07,0.1,1.2,101,20250503142426300554
1,4.0,0.8,0.1,0.07,0.2,1.2,101,20250503142618938174
1,4.0,0.8,0.2,0.02,0.1,1.2,101,20250503142811682317
1,4.0,0.8,0.2,0.02,0.2,1.2,101,20250503143004625950
1,4.0,0.8,0.2,0.05,0.1,1.2,101,20250503143156966342
1,4.0,0.8,0.2,0.05,0.2,1.2,101,20250503143350426529
1,4.0,0.8,0.2,0.07,0.1,1.2,101,20250503143542554043
1,4.0,0.8,0.2,0.07,0.2,1.2,101,20250503143737346526
1,4.0,1.0,0.1,0.02,0.1,1.2,101,20250503143931422227
1,4.0,1.0,0.1,0.02,0.2,1.2,101,20250503144124159114
1,4.0,1.0,0.1,0.05,0.1,1.2,101,20250503144317611570
1,4.0,1.0,0.1,0.05,0.2,1.2,101,20250503144512089469
1,4.0,1.0,0.1,0.07,0.1,1.2,101,20250503144704730334
1,4.0,1.0,0.1,0.07,0.2,1.2,101,20250503144857490190
1,4.0,1.0,0.2,0.02,0.1,1.2,101,20250503145050642739
1,4.0,1.0,0.2,0.02,0.2,1.2,101,20250503145243174255
1,4.0,1.0,0.2,0.05,0.1,1.2,101,20250503145436218286
1,4.0,1.0,0.2,0.05,0.2,1.2,101,20250503145630603972
1,4.0,1.0,0.2,0.07,0.1,1.2,101,20250503145824909848
1,4.0,1.0,0.2,0.07,0.2,1.2,101,20250503150019058785
1,5.0,0.6,0.1,0.02,0.1,1.2,101,20250503150213018258
1,5.0,0.6,0.1,0.02,0.2,1.2,101,20250503150406310936
1,5.0,0.6,0.1,0.05,0.1,1.2,101,20250503150559855675
1,5.0,0.6,0.1,0.05,0.2,1.2,101,20250503150754232947
1,5.0,0.6,0.1,0.07,0.1,1.2,101,20250503150948096154
1,5.0,0.6,0.1,0.07,0.2,1.2,101,20250503151140938722
1,5.0,0.6,0.2,0.02,0.1,1.2,101,20250503151335329841
1,5.0,0.6,0.2,0.02,0.2,1.2,101,20250503151529406772
1,5.0,0.6,0.2,0.05,0.1,1.2,101,20250503151721663150
1,5.0,0.6,0.2,0.05,0.2,1.2,101,20250503151914686449
1,5.0,0.6,0.2,0.07,0.1,1.2,101,20250503152106506983
1,5.0,0.6,0.2,0.07,0.2,1.2,101,20250503152300480002
1,5.0,0.8,0.1,0.02,0.1,1.2,101,20250503152454512401
1,5.0,0.8,0.1,0.02,0.2,1.2,101,20250503152648525825
1,5.0,0.8,0.1,0.05,0.1,1.2,101,20250503152842628678
1,5.0,0.8,0.1,0.05,0.2,1.2,101,20250503153037485903
1,5.0,0.8,0.1,0.07,0.1,1.2,101,20250503153230742052
1,5.0,0.8,0.1,0.07,0.2,1.2,101,20250503153425207890
1,5.0,0.8,0.2,0.02,0.1,1.2,101,20250503153619094961
1,5.0,0.8,0.2,0.02,0.2,1.2,101,20250503153813172171
1,5.0,0.8,0.2,0.05,0.1,1.2,101,20250503154008963821
1,5.0,0.8,0.2,0.05,0.2,1.2,101,20250503154203470255
1,5.0,0.8,0.2,0.07,0.1,1.2,101,20250503154355679086
1,5.0,0.8,0.2,0.07,0.2,1.2,101,20250503154549570372
1,5.0,1.0,0.1,0.02,0.1,1.2,101,20250503154743340049
1,5.0,1.0,0.1,0.02,0.2,1.2,101,20250503154936979551
1,5.0,1.0,0.1,0.05,0.1,1.2,101,20250503155130136575
1,5.0,1.0,0.1,0.05,0.2,1.2,101,20250503155324327819
1,5.0,1.0,0.1,0.07,0.1,1.2,101,20250503155520579017
1,5.0,1.0,0.1,0.07,0.2,1.2,101,20250503155714584609
1,5.0,1.0,0.2,0.02,0.1,1.2,101,20250503155908686685
1,5.0,1.0,0.2,0.02,0.2,1.2,101,20250503160102254325
1,5.0,1.0,0.2,0.05,0.1,1.2,101,20250503160255611238
1,5.0,1.0,0.2,0.05,0.2,1.2,101,20250503160449374071
1,5.0,1.0,0.2,0.07,0.1,1.2,101,20250503160644266438
1,5.0,1.0,0.2,0.07,0.2,1.2,101,20250503160839255158
1,6.0,0.6,0.1,0.02,0.1,1.2,101,20250503161032005384
1,6.0,0.6,0.1,0.02,0.2,1.2,101,20250503161225004688
1,6.0,0.6,0.1,0.05,0.1,1.2,101,20250503161418742676
1,6.0,0.6,0.1,0.05,0.2,1.2,101,20250503161611980538
1,6.0,0.6,0.1,0.07,0.1,1.2,101,20250503161804606242
1,6.0,0.6,0.1,0.07,0.2,1.2,101,20250503161956838118
1,6.0,0.6,0.2,0.02,0.1,1.2,101,20250503162149427475
1,6.0,0.6,0.2,0.02,0.2,1.2,101,20250503162342622657
1,6.0,0.6,0.2,0.05,0.1,1.2,101,20250503162535308527
1,6.0,0.6,0.2,0.05,0.2,1.2,101,20250503162729119812
1,6.0,0.6,0.2,0.07,0.1,1.2,101,20250503162922290162
1,6.0,0.6,0.2,0.07,0.2,1.2,101,20250503163116677150
1,6.0,0.8,0.1,0.02,0.1,1.2,101,20250503163310342247
1,6.0,0.8,0.1,0.02,0.2,1.2,101,20250503163504422938
1,6.0,0.8,0.1,0.05,0.1,1.2,101,20250503163658117485
1,6.0,0.8,0.1,0.05,0.2,1.2,101,20250503163851549681
1,6.0,0.8,0.1,0.07,0.1,1.2,101,20250503164045174368
1,6.0,0.8,0.1,0.07,0.2,1.2,101,20250503164237546559
1,6.0,0.8,0.2,0.02,0.1,1.2,101,20250503164431598766
1,6.0,0.8,0.2,0.02,0.2,1.2,101,20250503164624470006
1,6.0,0.8,0.2,0.05,0.1,1.2,101,20250503164818842721
1,6.0,0.8,0.2,0.05,0.2,1.2,101,20250503165011464675
1,6.0,0.8,0.2,0.07,0.1,1.2,101,20250503165204391147
1,6.0,0.8,0.2,0.07,0.2,1.2,101,20250503165358089870
1,6.0,1.0,0.1,0.02,0.1,1.2,101,20250503165551130514
1,6.0,1.0,0.1,0.02,0.2,1.2,101,20250503165744492638
1,6.0,1.0,0.1,0.05,0.1,1.2,101,20250503165938369851
1,6.0,1.0,0.1,0.05,0.2,1.2,101,20250503170132430282
1,6.0,1.0,0.1,0.07,0.1,1.2,101,20250503170326724854
1,6.0,1.0,0.1,0.07,0.2,1.2,101,20250503170520673285
1,6.0,1.0,0.2,0.02,0.1,1.2,101,20250503170714029792
1,6.0,1.0,0.2,0.02,0.2,1.2,101,20250503170907604758
1,6.0,1.0,0.2,0.05,0.1,1.2,101,20250503171102073364
1,6.0,1.0,0.2,0.05,0.2,1.2,101,20250503171254009991
1,6.0,1.0,0.2,0.07,0.1,1.2,101,20250503171449720576
1,6.0,1.0,0.2,0.07,0.2,1.2,101,20250503171642760186
1,1.5,0.4,0.02,0.1,0.02,1.2,101,20250503171839011889
1,1.5,0.4,0.02,0.1,0.1,1.2,101,20250503172032659752
1,1.5,0.4,0.02,0.2,0.02,1.2,101,20250503172226524670
1,1.5,0.4,0.02,0.2,0.1,1.2,101,20250503172421008698
1,1.5,0.4,0.1,0.1,0.02,1.2,101,20250503172614864386
1,1.5,0.4,0.1,0.1,0.1,1.2,101,20250503172808338198
1,1.5,0.4,0.1,0.2,0.02,1.2,101,20250503173001992505
1,1.5,0.4,0.1,0.2,0.1,1.2,101,20250503173155905843
1,1.5,0.5,0.02,0.1,0.02,1.2,101,20250503173349742366
1,1.5,0.5,0.02,0.1,0.1,1.2,101,20250503173543813405
1,1.5,0.5,0.02,0.2,0.02,1.2,101,20250503173737786253
1,1.5,0.5,0.02,0.2,0.1,1.2,101,20250503173932988718
1,1.5,0.5,0.1,0.1,0.02,1.2,101,20250503174126140737
1,1.5,0.5,0.1,0.1,0.1,1.2,101,20250503174321150370
1,1.5,0.5,0.1,0.2,0.02,1.2,101,20250503174514998682
1,1.5,0.5,0.1,0.2,0.1,1.2,101,20250503174708890583
1,1.5,0.6,0.02,0.1,0.02,1.2,101,20250503174902659898
1,1.5,0.6,0.02,0.1,0.1,1.2,101,20250503175056155641
1,1.5,0.6,0.02,0.2,0.02,1.2,101,20250503175250086577
1,1.5,0.6,0.02,0.2,0.1,1.2,101,20250503175443142165
1,1.5,0.6,0.1,0.1,0.02,1.2,101,20250503175637008543
1,1.5,0.6,0.1,0.1,0.1,1.2,101,20250503175832599743
1,1.5,0.6,0.1,0.2,0.02,1.2,101,20250503180025771362
1,1.5,0.6,0.1,0.2,0.1,1.2,101,20250503180220608480
1,2.5,0.4,0.02,0.1,0.02,1.2,101,20250503180414841811
1,2.5,0.4,0.02,0.1,0.1,1.2,101,20250503180610976072
1,2.5,0.4,0.02,0.2,0.02,1.2,101,20250503180807220219
1,2.5,0.4,0.02,0.2,0.1,1.2,101,20250503181002096629
1,2.5,0.4,0.1,0.1,0.02,1.2,101,20250503181155602082
1,2.5,0.4,0.1,0.1,0.1,1.2,101,20250503181350441314
1,2.5,0.4,0.1,0.2,0.02,1.2,101,20250503181545934378
1,2.5,0.4,0.1,0.2,0.1,1.2,101,20250503181739781028
1,2.5,0.5,0.02,0.1,0.02,1.2,101,20250503181934712643
1,2.5,0.5,0.02,0.1,0.1,1.2,101,20250503182129040048
1,2.5,0.5,0.02,0.2,0.02,1.2,101,20250503182324150861
1,2.5,0.5,0.02,0.2,0.1,1.2,101,20250503182519365169
1,2.5,0.5,0.1,0.1,0.02,1.2,101,20250503182715264999
1,2.5,0.5,0.1,0.1,0.1,1.2,101,20250503182910178496
1,2.5,0.5,0.1,0.2,0.02,1.2,101,20250503183105073544
1,2.5,0.5,0.1,0.2,0.1,1.2,101,20250503183259760273
1,2.5,0.6,0.02,0.1,0.02,1.2,101,20250503183454345939
1,2.5,0.6,0.02,0.1,0.1,1.2,101,20250503183648514199
1,2.5,0.6,0.02,0.2,0.02,1.2,101,20250503183843310453
1,2.5,0.6,0.02,0.2,0.1,1.2,101,20250503184036972587
1,2.5,0.6,0.1,0.1,0.02,1.2,101,20250503184232482303
1,2.5,0.6,0.1,0.1,0.1,1.2,101,20250503184426966221
1,2.5,0.6,0.1,0.2,0.02,1.2,101,20250503184621654288
1,2.5,0.6,0.1,0.2,0.1,1.2,101,20250503184816753537
1,3.0,0.4,0.02,0.1,0.02,1.2,101,20250503185013524853
1,3.0,0.4,0.02,0.1,0.1,1.2,101,20250503185206137138
1,3.0,0.4,0.02,0.2,0.02,1.2,101,20250503185359182419
1,3.0,0.4,0.02,0.2,0.1,1.2,101,20250503185552543721
1,3.0,0.4,0.1,0.1,0.02,1.2,101,20250503185746999530
1,3.0,0.4,0.1,0.1,0.1,1.2,101,20250503185941501374
1,3.0,0.4,0.1,0.2,0.02,1.2,101,20250503190136073781
1,3.0,0.4,0.1,0.2,0.1,1.2,101,20250503190329047163
1,3.0,0.5,0.02,0.1,0.02,1.2,101,20250503190536912199
1,3.0,0.5,0.02,0.1,0.1,1.2,101,20250503190729481977
1,3.0,0.5,0.02,0.2,0.02,1.2,101,20250503190923658253
1,3.0,0.5,0.02,0.2,0.1,1.2,101,20250503191116992572
1,3.0,0.5,0.1,0.1,0.02,1.2,101,20250503191310551734
1,3.0,0.5,0.1,0.1,0.1,1.2,101,20250503191509996868
1,3.0,0.5,0.1,0.2,0.02,1.2,101,20250503191703383525
1,3.0,0.5,0.1,0.2,0.1,1.2,101,20250503191857288576
1,3.0,0.6,0.02,0.1,0.02,1.2,101,20250503192051661752
1,3.0,0.6,0.02,0.1,0.1,1.2,101,20250503192243811025
1,3.0,0.6,0.02,0.2,0.02,1.2,101,20250503192436563455
1,3.0,0.6,0.02,0.2,0.1,1.2,101,20250503192629560850
1,3.0,0.6,0.1,0.1,0.02,1.2,101,20250503192823742475
1,3.0,0.6,0.1,0.1,0.1,1.2,101,20250503193016726621
1,3.0,0.6,0.1,0.2,0.02,1.2,101,20250503193210702749
1,3.0,0.6,0.1,0.2,0.1,1.2,101,20250503193403854377
1,1.0,0.2,0.01,0.2,0.01,1.2,101,20250503193558618358
1,1.0,0.2,0.01,0.4,0.01,1.2,101,20250503193753534401
1,1.0,0.3,0.01,0.2,0.01,1.2,101,20250503193946421158
1,1.0,0.3,0.01,0.4,0.01,1.2,101,20250503194140657497
1,1.0,0.5,0.01,0.2,0.01,1.2,101,20250503194335342153
1,1.0,0.5,0.01,0.4,0.01,1.2,101,20250503194529633473
1,2.0,0.2,0.01,0.2,0.01,1.2,101,20250503194724191235
1,2.0,0.2,0.01,0.4,0.01,1.2,101,20250503194916754235
1,2.0,0.3,0.01,0.2,0.01,1.2,101,20250503195110306263
1,2.0,0.3,0.01,0.4,0.01,1.2,101,20250503195304504493
1,2.0,0.5,0.01,0.2,0.01,1.2,101,20250503195458563274
1,2.0,0.5,0.01,0.4,0.01,1.2,101,20250503195651612745
1,3.0,0.2,0.01,0.2,0.01,1.2,101,20250503195846510850
1,3.0,0.2,0.01,0.4,0.01,1.2,101,20250503200041602046
1,3.0,0.3,0.01,0.2,0.01,1.2,101,20250503200237322388
1,3.0,0.3,0.01,0.4,0.01,1.2,101,20250503200431815192
1,3.0,0.5,0.01,0.2,0.01,1.2,101,20250503200627722188
